"ГАЗ М-20 «Победа»";300 000 ₽;1950;50 000 км;бежевый;задний;фастбек;механика;"2.1 л";52 л.с;Бензин
"ГАЗ 3110 «Волга»";55 000 ₽;2003;222 000 км;серебристый;задний;седан;механика;"2.5 л";90 л.с;Бензин
"ГАЗ 21 «Волга» 21В";180 000 ₽;1960;100 000 км;белый;задний;седан;механика;"2.5 л";70 л.с;Бензин
"ГАЗ 31029 «Волга»";130 000 ₽;1996;150 000 км;белый;задний;седан;механика;"2.5 л";100 л.с;Бензин
"ГАЗ М-20 «Победа»";700 000 ₽;1958;2 000 км;коричневый;задний;фастбек;механика;"2.1 л";52 л.с;Бензин
"ГАЗ 24 «Волга» 2410 II (2410)";200 000 ₽;1988;70 000 км;бежевый;задний;седан;механика;"2.5 л";100 л.с;Бензин
"ГАЗ 69";1 560 000 ₽;1965;39 км;зелёный;полный;"внедорожник 3 дв.";механика;"2.1 л";55 л.с;Бензин
"ГАЗ 21 «Волга» 21В";130 000 ₽;1960;7 865 км;серый;задний;седан;механика;"2.5 л";70 л.с;Бензин
"ГАЗ 21 «Волга» 21Р";1 100 000 ₽;1966;80 000 км;серый;задний;седан;механика;"2.5 л";75 л.с;Бензин
"ГАЗ 22 «Волга»";1 000 000 ₽;1970;68 863 км;серебристый;задний;"универсал 5 дв.";механика;"2.5 л";75 л.с;Бензин
